Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.6943621167604864,0.6948833161946761,0.330822480415161,0.33087684835597647
Baseline,MLCV,F1,0.7176431189046285,0.7183476810806765,0.31995268462673687,0.32007727705343003
Baseline,MLCV,Precision,0.7658478603951311,0.7616030039467786,0.2962111189140189,0.2999171610503941
RUS_0,RUS_1,Recall,0.8451736559961717,0.8447032056646103,0.15528955044578466,0.1558403168644261
RUS_0,RUS_1,F1,0.7681815975775276,0.7681384400479015,0.23564989785757037,0.2364746988927309
RUS_0,RUS_1,Precision,0.7285290329358819,0.7277036400189352,0.2754678929879018,0.2769336765656544
TomekLinks_0,TomekLinks_1,Recall,0.7243825166882026,0.7252465154194399,0.30747844416030645,0.30707237529722264
TomekLinks_0,TomekLinks_1,F1,0.7333584983447629,0.7346507896322678,0.30317650385276074,0.3019604580460412
TomekLinks_0,TomekLinks_1,Precision,0.7582791248919692,0.7583750881422756,0.2819070982710283,0.28062400725435305
ENN_0,ENN_1,Recall,0.8230184279293048,0.822903102396087,0.25391837351784297,0.25270635496818766
ENN_0,ENN_1,F1,0.754329103810254,0.7542784613772686,0.27021578861785456,0.26884015812321266
ENN_0,ENN_1,Precision,0.7229227470952679,0.7242566310667514,0.2793928989679019,0.2754128379131916
NearMiss_0,NearMiss_1,Recall,0.8366408507958139,0.835585770860015,0.15325389512392482,0.1540261742800858
NearMiss_0,NearMiss_1,F1,0.7463579179478278,0.7460043101721731,0.25842939719932567,0.2592444655296042
NearMiss_0,NearMiss_1,Precision,0.7086684744274346,0.7076740374217904,0.30485423413690893,0.30604121472283674
AllKNN_0,AllKNN_1,Recall,0.8403149426629556,0.8399056601184607,0.232674811582133,0.23435426812797602
AllKNN_0,AllKNN_1,F1,0.7586628965702392,0.7574426611504607,0.2625007161632183,0.26402433667856084
AllKNN_0,AllKNN_1,Precision,0.718327933566373,0.7170167581683687,0.28893762693942193,0.28958328207371287
IHT_0,IHT_1,Recall,0.9012873341307729,0.9008780829033028,0.10397142661807077,0.10597684741573804
IHT_0,IHT_1,F1,0.7426540921541415,0.7416432987214026,0.22360474568053437,0.22584776112066374
IHT_0,IHT_1,Precision,0.6684650255888541,0.6671641653693783,0.2736818358433314,0.2756357572664887
CNN_0,CNN_1,Recall,0.7892732640693906,0.7895584292793923,0.23143739133873117,0.2347555815080497
CNN_0,CNN_1,F1,0.7387282237787951,0.7381195612927698,0.23964538705973074,0.24258877640438073
CNN_0,CNN_1,Precision,0.7113658365352852,0.708628994251538,0.253968661058196,0.2579119753866726
NCR_0,NCR_1,Recall,0.8056721936647729,0.8037045602935448,0.2645064966906971,0.26622255654618876
NCR_0,NCR_1,F1,0.7531430185860201,0.7513834763829474,0.27531926474102075,0.2774947363641909
NCR_0,NCR_1,Precision,0.7305745901715445,0.7276038146685174,0.27322915346381427,0.27675161242027846
Reen_0,Reen_1,Recall,0.8685802165404474,0.8660623272039305,0.18774165612199095,0.1909036953973143
Reen_0,Reen_1,F1,0.7561534642660294,0.7558805491511417,0.2536035490454032,0.25448783745037673
Reen_0,Reen_1,Precision,0.6993898566085502,0.6995920655880905,0.2983186293676617,0.2984097094519948
OSS_0,OSS_1,Recall,0.7233590302350326,0.7209564401931452,0.30095828105695,0.3033822123862003
OSS_0,OSS_1,F1,0.7299104021788012,0.7276769450004633,0.2947597624797061,0.2971397892967788
OSS_0,OSS_1,Precision,0.7552401032680928,0.7484191530803536,0.27063898551919136,0.2809934784684956
CC_0,CC_1,Recall,0.8833005585144608,0.8858494400825415,0.12689232650776242,0.12359380299944736
CC_0,CC_1,F1,0.7356731889669548,0.7369768605836443,0.23359090427559534,0.23291591118662866
CC_0,CC_1,Precision,0.6855593681614218,0.6859926745083401,0.2857622562319494,0.28577284921556934
ROS_0,ROS_1,Recall,0.724397761501069,0.7250896116957787,0.2995882923923185,0.2990072161203356
ROS_0,ROS_1,F1,0.7349494231284669,0.736079274640813,0.29579622953957635,0.2947506322612808
ROS_0,ROS_1,Precision,0.7588255896046299,0.7602512893828614,0.2774826852341256,0.27267639538611044
SMOTE_0,SMOTE_1,Recall,0.7374392439787313,0.7399969223660666,0.2899069101145415,0.28897366461480206
SMOTE_0,SMOTE_1,F1,0.740693334683447,0.7422735704397664,0.2897985106358826,0.2891831285525741
SMOTE_0,SMOTE_1,Precision,0.7598414474797918,0.7572113694423183,0.26873683647056007,0.2735203689119136
BSMOTE_0,BSMOTE_1,Recall,0.7382375199357605,0.7414687891355753,0.28891817512542195,0.28619628824739995
BSMOTE_0,BSMOTE_1,F1,0.741698676252867,0.7442083009375152,0.288321668497208,0.28591144001980195
BSMOTE_0,BSMOTE_1,Precision,0.7602017159100054,0.7606218269771355,0.2689890941423402,0.2679399598158682
SVM_0,SVM_1,Recall,0.7357046634213624,0.7363514780718536,0.2973462223110464,0.2964509540375127
SVM_0,SVM_1,F1,0.7399292391032367,0.7404718918577865,0.29381817974404106,0.2937183512927338
SVM_0,SVM_1,Precision,0.7615650257459192,0.7560644002251697,0.2677933921455391,0.27712096805290765
SMOTENN_0,SMOTENN_1,Recall,0.8069874230897942,0.8039712473326053,0.21835434799775144,0.2204729455694283
SMOTENN_0,SMOTENN_1,F1,0.7597727392044384,0.7580227495665509,0.25148032970573647,0.25360485179002645
SMOTENN_0,SMOTENN_1,Precision,0.733562808515654,0.7316631106901159,0.2773613622629965,0.2800025750523856
SMOTETomek_0,SMOTETomek_1,Recall,0.7429036994673552,0.7430673323728184,0.2844705448913512,0.28630109638209766
SMOTETomek_0,SMOTETomek_1,F1,0.7434678617502984,0.7429076096312871,0.28469086331731386,0.2876949909161677
SMOTETomek_0,SMOTETomek_1,Precision,0.759029024902706,0.7538087503277606,0.2667401425241464,0.27567829658321213
