Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0,27.5,0.33430264421035594,Not Significant
Baseline,MLCV,F1,0.0,38.5,0.9665165964249498,Not Significant
Baseline,MLCV,Precision,0.0,38.5,0.9665165964249498,Not Significant
RUS_0,RUS_1,Recall,-0.0007175925925925752,10.5,0.02342434054436848,CV Significantly Better
RUS_0,RUS_1,F1,0.0,21.5,0.1640208809464725,Not Significant
RUS_0,RUS_1,Precision,0.0,21.5,0.1640208809464725,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.0,33.5,0.6506475153174258,Not Significant
TomekLinks_0,TomekLinks_1,F1,0.0,34.5,0.7109919960746027,Not Significant
TomekLinks_0,TomekLinks_1,Precision,0.0,33.5,0.6506475153174258,Not Significant
ENN_0,ENN_1,Recall,0.0,31.0,0.5211708933577417,Not Significant
ENN_0,ENN_1,F1,0.0,23.0,0.19946296265989716,Not Significant
ENN_0,ENN_1,Precision,0.0,22.0,0.17279560666520222,Not Significant
NearMiss_0,NearMiss_1,Recall,0.0,17.5,0.08730804987523452,Not Significant
NearMiss_0,NearMiss_1,F1,0.0,26.5,0.3201968386745815,Not Significant
NearMiss_0,NearMiss_1,Precision,0.0,30.5,0.4990683548846472,Not Significant
AllKNN_0,AllKNN_1,Recall,0.0,34.0,0.6884470192363399,Not Significant
AllKNN_0,AllKNN_1,F1,0.0,37.0,0.8725774993410996,Not Significant
AllKNN_0,AllKNN_1,Precision,0.0,33.0,0.6304055135710709,Not Significant
IHT_0,IHT_1,Recall,0.0,31.5,0.5508866153183205,Not Significant
IHT_0,IHT_1,F1,0.0,28.5,0.4037149432334194,Not Significant
IHT_0,IHT_1,Precision,0.0,19.5,0.12096798278059871,Not Significant
CNN_0,CNN_1,Recall,0.0,34.0,0.6884470192363399,Not Significant
CNN_0,CNN_1,F1,0.0,14.0,0.044982577084843836,MLCV Significantly Better
CNN_0,CNN_1,Precision,0.0,23.0,0.19946296265989716,Not Significant
NCR_0,NCR_1,Recall,0.0,37.0,0.8725774993410996,Not Significant
NCR_0,NCR_1,F1,0.0,33.0,0.6304055135710709,Not Significant
NCR_0,NCR_1,Precision,0.0,37.0,0.8725774993410996,Not Significant
Reen_0,Reen_1,Recall,0.0,32.5,0.6052205209365773,Not Significant
Reen_0,Reen_1,F1,0.0,29.5,0.44996064795295154,Not Significant
Reen_0,Reen_1,Precision,0.0,29.5,0.44996064795295154,Not Significant
OSS_0,OSS_1,Recall,0.0,22.5,0.17427702137934575,Not Significant
OSS_0,OSS_1,F1,0.0,22.5,0.17427702137934575,Not Significant
OSS_0,OSS_1,Precision,0.0,32.5,0.5925105082742703,Not Significant
CC_0,CC_1,Recall,0.0,36.5,0.8424108310645502,Not Significant
CC_0,CC_1,F1,0.0,38.5,0.9682827613458866,Not Significant
CC_0,CC_1,Precision,0.0,30.5,0.4990683548846472,Not Significant
ROS_0,ROS_1,Recall,0.0,17.5,0.08730804987523452,Not Significant
ROS_0,ROS_1,F1,0.0,17.5,0.08730804987523452,Not Significant
ROS_0,ROS_1,Precision,0.0,18.5,0.10304915970138451,Not Significant
SMOTE_0,SMOTE_1,Recall,0.0,35.0,0.7483841074687045,Not Significant
SMOTE_0,SMOTE_1,F1,0.0,26.5,0.3201968386745815,Not Significant
SMOTE_0,SMOTE_1,Precision,0.0,19.5,0.12096798278059871,Not Significant
BSMOTE_0,BSMOTE_1,Recall,0.0,34.5,0.7204486494197142,Not Significant
BSMOTE_0,BSMOTE_1,F1,0.0,36.5,0.8424108310645502,Not Significant
BSMOTE_0,BSMOTE_1,Precision,0.0,28.5,0.4037149432334194,Not Significant
SVM_0,SVM_1,Recall,0.0,14.0,0.044982577084843836,MLCV Significantly Better
SVM_0,SVM_1,F1,0.0,17.5,0.08730804987523452,Not Significant
SVM_0,SVM_1,Precision,0.0,25.5,0.2830119775353257,Not Significant
SMOTENN_0,SMOTENN_1,Recall,0.0,31.5,0.5508866153183205,Not Significant
SMOTENN_0,SMOTENN_1,F1,0.0,38.5,0.9682827613458866,Not Significant
SMOTENN_0,SMOTENN_1,Precision,0.0,37.5,0.905048445217947,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.0,29.5,0.44996064795295154,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.0,25.5,0.2830119775353257,Not Significant
SMOTETomek_0,SMOTETomek_1,Precision,0.0,20.5,0.14123727265288805,Not Significant
