Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.5045343984836338,0.5045089191299891,0.344144555055911,0.34337520134663035
Baseline,MLCV,F1,0.5499676997941376,0.5507502535866887,0.3268998591834577,0.32535608063817717
Baseline,MLCV,Precision,0.6717914326788268,0.6731310826100624,0.3174358250778081,0.31572559463082606
RUS_0,RUS_1,Recall,0.700225431834471,0.6979431551061158,0.17107911676190155,0.17184343372036495
RUS_0,RUS_1,F1,0.6136842504849785,0.6122983511774228,0.2325157323706816,0.2329442851515597
RUS_0,RUS_1,Precision,0.5819985831159268,0.5809759260052182,0.27676899151892226,0.27730266543303783
TomekLinks_0,TomekLinks_1,Recall,0.545043885928976,0.5451215433840845,0.3241557903090317,0.3234753186332938
TomekLinks_0,TomekLinks_1,F1,0.5769209199610122,0.5768064991652943,0.30898841627337464,0.30884960699717107
TomekLinks_0,TomekLinks_1,Precision,0.670438812310398,0.6693561216160008,0.30722828963449705,0.3084408204503698
ENN_0,ENN_1,Recall,0.6615846409446782,0.660639165033516,0.27679998382176013,0.2760218678774478
ENN_0,ENN_1,F1,0.6180154761498663,0.6170665148703491,0.2755269572217661,0.2752288787741693
ENN_0,ENN_1,Precision,0.6215415574444454,0.6207902580858542,0.29227915330428056,0.2922417266979743
NearMiss_0,NearMiss_1,Recall,0.669619486804479,0.6695350423515706,0.16226743177606817,0.1616575672531637
NearMiss_0,NearMiss_1,F1,0.5968265561457943,0.597109159414896,0.24723103685455988,0.24641588691413877
NearMiss_0,NearMiss_1,Precision,0.5874253222147227,0.587918275694591,0.31013864246554257,0.3095457302012797
AllKNN_0,AllKNN_1,Recall,0.6867226505813816,0.6867967980358395,0.2520802430420339,0.250341136539812
AllKNN_0,AllKNN_1,F1,0.6268964283983413,0.626495308824977,0.2626731638184177,0.26252322017319807
AllKNN_0,AllKNN_1,Precision,0.6205847484037273,0.6200572824398171,0.28759126790068085,0.28816147964093936
IHT_0,IHT_1,Recall,0.7182341239059044,0.715134592914625,0.22227141980396276,0.22320013599850128
IHT_0,IHT_1,F1,0.6443262985693676,0.6422931255242802,0.24823139303113134,0.24937028021525856
IHT_0,IHT_1,Precision,0.6445795839877299,0.6431458913905245,0.28889242930978404,0.2902283843074615
