Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.6865577827153588,0.6887206413255212,0.3331787727808593,0.33126515034891957
Baseline,MLCV,F1,0.7144076540730167,0.716974925036689,0.31241803697218273,0.30999079072769353
Baseline,MLCV,Precision,0.7781042963241217,0.7799084798000296,0.2507421606118998,0.24692900790261077
RUS_0,RUS_1,Recall,0.8412855252542784,0.8403009928567556,0.14663475886095897,0.14767829705536112
RUS_0,RUS_1,F1,0.7664595636155265,0.7668987528886619,0.22514586952845042,0.22557341494826985
RUS_0,RUS_1,Precision,0.7280065791484746,0.7282535957615076,0.2676015703734307,0.2680112144115981
TomekLinks_0,TomekLinks_1,Recall,0.7259114557893319,0.7282076401786535,0.2984607063687125,0.29728825967544165
TomekLinks_0,TomekLinks_1,F1,0.7348693169273494,0.7377956618757806,0.2878468044714109,0.28590376580998356
TomekLinks_0,TomekLinks_1,Precision,0.7635844185682399,0.7661424336132291,0.24895453638103268,0.24660845328146225
ENN_0,ENN_1,Recall,0.8192662608458537,0.8194067519965572,0.24107779251512737,0.2416000257498021
ENN_0,ENN_1,F1,0.7542174514427854,0.7549586886614305,0.2544570877235603,0.2543181127652793
ENN_0,ENN_1,Precision,0.7245565094758478,0.7251070303947076,0.2611697483317929,0.2609819089015747
NearMiss_0,NearMiss_1,Recall,0.8239907718833196,0.8253251052756595,0.1664979903913232,0.1649043411027635
NearMiss_0,NearMiss_1,F1,0.7481524867866379,0.7494578699178365,0.2521527136887846,0.2520728015934994
NearMiss_0,NearMiss_1,Precision,0.715195786660103,0.715704731019554,0.29664492334497233,0.29706872440145154
AllKNN_0,AllKNN_1,Recall,0.8385415077767019,0.8370466376625507,0.2128362256102845,0.2151552755355201
AllKNN_0,AllKNN_1,F1,0.761282012931801,0.7613577937418929,0.24207580910493748,0.24218869309680516
AllKNN_0,AllKNN_1,Precision,0.7227277985944623,0.7242928956851938,0.2683424758666811,0.2659649131487684
IHT_0,IHT_1,Recall,0.8911163538309065,0.8892041495682118,0.10332123618956833,0.1036048339261375
IHT_0,IHT_1,F1,0.7590424134224464,0.7582160080830734,0.22803298676171063,0.22942170335798853
IHT_0,IHT_1,Precision,0.6994003766070244,0.6986690052130369,0.28313776532134616,0.2842577677841492
CNN_0,CNN_1,Recall,0.8107378374494137,0.8097883105329751,0.21756660138736922,0.21848110087795106
CNN_0,CNN_1,F1,0.7606628111908885,0.7601396526646039,0.23619030999728094,0.2372102110369514
CNN_0,CNN_1,Precision,0.730610198628912,0.7292566167198987,0.25208430248204183,0.2536480416794356
NCR_0,NCR_1,Recall,0.8046867588892271,0.8055583709373098,0.24892866473592384,0.2481070430910162
NCR_0,NCR_1,F1,0.7554722787607923,0.7574032577729403,0.25613628859883175,0.25495730817640927
NCR_0,NCR_1,Precision,0.7333588914410848,0.7350055301374084,0.2527688246277197,0.2529530949425987
Reen_0,Reen_1,Recall,0.8660427394748759,0.8630464047608125,0.16772724943180076,0.1719842554397504
Reen_0,Reen_1,F1,0.7590574012007937,0.7581354746389413,0.23632077783773756,0.23798984124719103
Reen_0,Reen_1,Precision,0.7033689436178823,0.7031023000124818,0.2818326819459348,0.282532918223631
OSS_0,OSS_1,Recall,0.7285531091465095,0.7304711545935582,0.2978514982503537,0.296341861636722
OSS_0,OSS_1,F1,0.7357715645860599,0.738343961809485,0.2871844930928235,0.2847732744044007
OSS_0,OSS_1,Precision,0.7619985047064177,0.7637707667819624,0.250099183934339,0.24768006931580988
CC_0,CC_1,Recall,0.8343733345355231,0.8344851899852052,0.1545747438677323,0.1552323340142617
CC_0,CC_1,F1,0.7640005823120309,0.7653958748104772,0.22150603200982583,0.2215917702396911
CC_0,CC_1,Precision,0.7292738673426582,0.7304302829231802,0.26351281592876497,0.2634632209735418
ROS_0,ROS_1,Recall,0.8296549470331865,0.8308652334787671,0.1619241846150894,0.15999270281012729
ROS_0,ROS_1,F1,0.774603814483893,0.776079172127175,0.2252623716466437,0.22403132091783015
ROS_0,ROS_1,Precision,0.7454006788469033,0.746234109178702,0.26388621201960755,0.2635408180862447
SMOTE_0,SMOTE_1,Recall,0.8285485653894707,0.82835809018143,0.16139251715439296,0.16217943931802256
SMOTE_0,SMOTE_1,F1,0.7755595257285717,0.7768319139322809,0.2236444236195692,0.22347846226387816
SMOTE_0,SMOTE_1,Precision,0.7472295127313745,0.7486463109338589,0.26191845350886034,0.26163555386048515
BSMOTE_0,BSMOTE_1,Recall,0.8289199453314806,0.82873500977563,0.16616710811367594,0.1667356349022215
BSMOTE_0,BSMOTE_1,F1,0.774208176127927,0.7754117516190259,0.22473680069370802,0.2243900076569329
BSMOTE_0,BSMOTE_1,Precision,0.7438686956723269,0.7448505177418737,0.2603910697946572,0.26016456530872
SVM_0,SVM_1,Recall,0.7983245291404963,0.7992668577511255,0.21013960461632003,0.20989852020063066
SVM_0,SVM_1,F1,0.7678516616642638,0.7689124260928772,0.23432701903546704,0.23416249641541084
SVM_0,SVM_1,Precision,0.7512502743741312,0.7509735613556336,0.2528866570738323,0.25378060579110434
SMOTENN_0,SMOTENN_1,Recall,0.8491103927599442,0.8474521572651069,0.11880182013124013,0.12077921041398837
SMOTENN_0,SMOTENN_1,F1,0.7539027112882404,0.7534114187186511,0.2295157020778219,0.23042688439037848
SMOTENN_0,SMOTENN_1,Precision,0.711525173077392,0.7108641568442705,0.2823145324807622,0.28291041200886546
SMOTETomek_0,SMOTETomek_1,Recall,0.8282799776073039,0.8275600890324317,0.16202117341160727,0.16422639851774745
SMOTETomek_0,SMOTETomek_1,F1,0.7745746425603043,0.7752930320538645,0.2240937728890215,0.22491864227017677
SMOTETomek_0,SMOTETomek_1,Precision,0.7455005009821694,0.7461906024497954,0.2614644450881176,0.2621083117133886
