Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.4028721818902697,0.40343864731784623,0.4003122564210427,0.400212320699332
Baseline,MLCV,F1,0.43400638818444137,0.43473066284676126,0.4058355137344625,0.4057632945261011
Baseline,MLCV,Precision,0.5150889376507793,0.5158361156420214,0.4480142144026265,0.44815795653381224
RUS_0,RUS_1,Recall,0.722963304903478,0.7217993819074472,0.17436198690931132,0.17520311073168413
RUS_0,RUS_1,F1,0.5884451921841161,0.5881623896607987,0.20781472198290468,0.20796751799968538
RUS_0,RUS_1,Precision,0.5729132714508883,0.5727922401789106,0.28403456252896,0.2839699466763324
TomekLinks_0,TomekLinks_1,Recall,0.42475186501501283,0.42473546861789746,0.40286707247156617,0.4032423421532169
TomekLinks_0,TomekLinks_1,F1,0.4496822321714095,0.4493079332752512,0.40747103909082344,0.40792437500600576
TomekLinks_0,TomekLinks_1,Precision,0.518051155070149,0.514271057541778,0.4431449213291066,0.44684739639587834
ENN_0,ENN_1,Recall,0.5731196837262539,0.5745566104372819,0.3669290831212945,0.3658954801977178
ENN_0,ENN_1,F1,0.5374238386011291,0.5383966771261329,0.34622466706130206,0.3457094003669816
ENN_0,ENN_1,Precision,0.5659130758793041,0.5667408483777875,0.3747807955693423,0.3744801402395818
NearMiss_0,NearMiss_1,Recall,0.5935005604178764,0.5953289798047109,0.20950557817917753,0.20883810790736407
NearMiss_0,NearMiss_1,F1,0.5513713880700881,0.55153653504968,0.2639998207455018,0.26388854768628855
NearMiss_0,NearMiss_1,Precision,0.5825819774868489,0.5823952220901968,0.3303463551884934,0.33044970566746246
AllKNN_0,AllKNN_1,Recall,0.6184381348836433,0.6179527354942406,0.34079880783681765,0.3409116990144707
AllKNN_0,AllKNN_1,F1,0.5647607521795455,0.5642006094352999,0.3278457658560915,0.3279802379386045
AllKNN_0,AllKNN_1,Precision,0.583080124988128,0.5831208157819507,0.36539174381394973,0.36511512198113505
IHT_0,IHT_1,Recall,0.6710665253723184,0.66944411658406,0.3026392299225542,0.30415825747622116
IHT_0,IHT_1,F1,0.591381736392277,0.5900605998233007,0.3014064136598119,0.3026532332294165
IHT_0,IHT_1,Precision,0.5967281301704171,0.5957291324123447,0.33433010179838196,0.3350943920885243
CNN_0,CNN_1,Recall,0.7394526031786158,0.7393796484614618,0.30028728681100236,0.2999345499673965
CNN_0,CNN_1,F1,0.516105177094056,0.5158605755166769,0.26061995631951157,0.2605571793284134
CNN_0,CNN_1,Precision,0.44587226741331265,0.4458359941283864,0.28150909408722113,0.2814315539517732
NCR_0,NCR_1,Recall,0.5371668216387683,0.5375778770110164,0.3939925085455399,0.3933627167447527
NCR_0,NCR_1,F1,0.5129480592593111,0.5130872612712923,0.373214799029804,0.37267957390781775
NCR_0,NCR_1,Precision,0.545639638183519,0.5456379142966699,0.39792497598673626,0.3975864953248421
Reen_0,Reen_1,Recall,0.6602683400618117,0.6544551383609465,0.31675620385504444,0.318595084152396
Reen_0,Reen_1,F1,0.5777450550187881,0.5738587642611394,0.30707538554286384,0.3097651410140745
