Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.5178246166835662,0.5171063637046053,0.33968496440533485,0.33895140951317326
Baseline,MLCV,F1,0.5544255047217409,0.554724388942106,0.3259936248322142,0.3248934182256514
Baseline,MLCV,Precision,0.6466097447943142,0.6475368829788032,0.3109367965719296,0.3093428535146316
RUS_0,RUS_1,Recall,0.7016094150314881,0.7004702389747282,0.17554156967179466,0.17485022451795687
RUS_0,RUS_1,F1,0.6192725281248457,0.6176901865955271,0.23607034433521448,0.23598524870622972
RUS_0,RUS_1,Precision,0.5954749403616074,0.5934794068402806,0.27939726725274705,0.2793308783475275
TomekLinks_0,TomekLinks_1,Recall,0.5511698207614132,0.5488645913817861,0.3194506921246123,0.32029420944944365
TomekLinks_0,TomekLinks_1,F1,0.5777858471630332,0.5756207146771983,0.3075495101960088,0.3089565602872353
TomekLinks_0,TomekLinks_1,Precision,0.6540143836702099,0.6494842029593394,0.2985695757708489,0.3027652589283348
ENN_0,ENN_1,Recall,0.6643586976035798,0.6642876591641574,0.27719477257134517,0.278501973204157
ENN_0,ENN_1,F1,0.6173995935235044,0.6177567467923759,0.27803764050860563,0.2792064105982298
ENN_0,ENN_1,Precision,0.6162319368884787,0.61696673908655,0.2907863786353491,0.2937755465497818
NearMiss_0,NearMiss_1,Recall,0.6791384279947268,0.6751238594141764,0.15956986895422387,0.16099670315100495
NearMiss_0,NearMiss_1,F1,0.6021941433226038,0.6006615681989331,0.2441933072915438,0.2455034149896337
NearMiss_0,NearMiss_1,Precision,0.5944757027731936,0.594198911798055,0.3066189394119898,0.3084453752715363
AllKNN_0,AllKNN_1,Recall,0.6895421030468172,0.6892988730729596,0.25184914796178787,0.25142592486504084
AllKNN_0,AllKNN_1,F1,0.6278086170849951,0.6282748806278927,0.26431016416430747,0.2638086411841485
AllKNN_0,AllKNN_1,Precision,0.6187228580492333,0.6205215956609523,0.2867957835303596,0.28686279454140307
IHT_0,IHT_1,Recall,0.7195273654359607,0.7188306232882806,0.2236550563617825,0.22123401359294698
IHT_0,IHT_1,F1,0.6430326014220775,0.6428277855885732,0.2517946126231292,0.2503143390032759
IHT_0,IHT_1,Precision,0.6377121542677964,0.6383821719102963,0.2863921474383144,0.2867500625491799
CNN_0,CNN_1,Recall,0.7057768989581518,0.7014202825164125,0.27239226846058445,0.27573688021444154
CNN_0,CNN_1,F1,0.6004279176091942,0.5969705912855314,0.26495294046808865,0.2674201195241831
CNN_0,CNN_1,Precision,0.5483242582681984,0.5448412213920156,0.2745397514141332,0.2767574568104442
NCR_0,NCR_1,Recall,0.6468536700961471,0.6469954586461276,0.284515027716885,0.2854448796449566
NCR_0,NCR_1,F1,0.6142341160798084,0.6137880633993061,0.28363458216704973,0.2848716656055085
NCR_0,NCR_1,Precision,0.6267264865124125,0.625500812831053,0.2985903752169248,0.3005900154595858
Reen_0,Reen_1,Recall,0.7189616043034279,0.7195711984649624,0.2241400557756102,0.2227439658835151
Reen_0,Reen_1,F1,0.6291507518893181,0.6307543238488788,0.25762514759381255,0.2565245626720277
Reen_0,Reen_1,Precision,0.6021413707575798,0.6043949618820825,0.28456539814068543,0.2843340345391451
OSS_0,OSS_1,Recall,0.5547036684418549,0.5533076908529316,0.31733194942687226,0.31799123357733006
OSS_0,OSS_1,F1,0.5783397622685537,0.576862555927424,0.3047919258427508,0.30510107491181115
OSS_0,OSS_1,Precision,0.6496767356254423,0.6465926232223267,0.29670289102048863,0.29844368520845643
CC_0,CC_1,Recall,0.6959505988306148,0.6987231340131607,0.1961993096011879,0.19538145397506054
CC_0,CC_1,F1,0.6273376991672704,0.6292802769361038,0.2449108451867493,0.24409778504059224
CC_0,CC_1,Precision,0.616873689980111,0.6180102684155315,0.28808070122103696,0.2874763351283671
ROS_0,ROS_1,Recall,0.7039903980763088,0.7067014547940759,0.205910691356871,0.20352951438406036
ROS_0,ROS_1,F1,0.648434944152076,0.6509019895036608,0.254436313262912,0.25293014130512853
ROS_0,ROS_1,Precision,0.6297996796384232,0.6315015818442263,0.28578538561300676,0.2850613242597086
SMOTE_0,SMOTE_1,Recall,0.7064706546773997,0.708207543631611,0.19370476455592517,0.1899859867996433
SMOTE_0,SMOTE_1,F1,0.6517479544017932,0.6533801602991048,0.24898473231916363,0.24631212509204362
SMOTE_0,SMOTE_1,Precision,0.6369958947205904,0.6385688632639983,0.2867189129226749,0.2844986141329362
BSMOTE_0,BSMOTE_1,Recall,0.7162896699776318,0.7166158683453451,0.20560747190936124,0.2039571302956134
BSMOTE_0,BSMOTE_1,F1,0.651979117461858,0.6539655918068098,0.25108897671573344,0.24990173977069008
BSMOTE_0,BSMOTE_1,Precision,0.624501322591411,0.6269248392919587,0.2786878766402478,0.2777632097997727
SVM_0,SVM_1,Recall,0.6689482582087799,0.666071149267466,0.2461999172655578,0.24628932409700155
SVM_0,SVM_1,F1,0.643735452757156,0.6417970748439591,0.26573535082855787,0.26610787905304545
SVM_0,SVM_1,Precision,0.6434491000650819,0.6419314207784647,0.2831819502402964,0.283666571794948
SMOTENN_0,SMOTENN_1,Recall,0.7416019070234617,0.7434312773191586,0.1550751070112298,0.15236639682676312
SMOTENN_0,SMOTENN_1,F1,0.6456418813302061,0.6467561303032078,0.23883254119785177,0.23610843691907057
SMOTENN_0,SMOTENN_1,Precision,0.6200197951630972,0.6203841452110027,0.2892919514057119,0.28663672298425413
SMOTETomek_0,SMOTETomek_1,Recall,0.7061393772894548,0.7066407595007074,0.19269037594375413,0.19056121793456238
SMOTETomek_0,SMOTETomek_1,F1,0.6516033681181639,0.6525910847223341,0.2493587745273335,0.24722588338227383
SMOTETomek_0,SMOTETomek_1,Precision,0.6375317647496975,0.6388639242254622,0.2877468457268765,0.285688926046655
