Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.6867549568714097,0.6873157452079766,0.3361159278145345,0.3355316696146523
Baseline,MLCV,F1,0.7123314349737125,0.712563311059621,0.3161999528290169,0.3163960692576306
Baseline,MLCV,Precision,0.7771019802008944,0.7757671008746622,0.261025684701072,0.26135652377597385
RUS_0,RUS_1,Recall,0.8412855252542784,0.8414882623194296,0.14663475886095897,0.14591638304646526
RUS_0,RUS_1,F1,0.7664595636155265,0.7679971219569928,0.22514586952845042,0.22514409434739943
RUS_0,RUS_1,Precision,0.7280065791484746,0.7296651500298178,0.2676015703734307,0.267794474896841
TomekLinks_0,TomekLinks_1,Recall,0.7259114557893319,0.7269963227420811,0.2984607063687125,0.30011039222653363
TomekLinks_0,TomekLinks_1,F1,0.7348693169273494,0.7357487774390231,0.2878468044714109,0.28981538311438976
TomekLinks_0,TomekLinks_1,Precision,0.7635844185682399,0.7622576311506192,0.24895453638103268,0.25438091425380654
ENN_0,ENN_1,Recall,0.8192662608458537,0.8189540257532261,0.24107779251512737,0.24042263619253043
ENN_0,ENN_1,F1,0.7542174514427854,0.7548801578566356,0.2544570877235603,0.2535484136037779
ENN_0,ENN_1,Precision,0.7245565094758478,0.7256459326392953,0.2611697483317929,0.25971970236026737
NearMiss_0,NearMiss_1,Recall,0.8239907718833196,0.8250160776976266,0.1664979903913232,0.16917119522210808
NearMiss_0,NearMiss_1,F1,0.7481524867866379,0.7499087503797579,0.2521527136887846,0.25350059283854004
NearMiss_0,NearMiss_1,Precision,0.715195786660103,0.716719622993412,0.29664492334497233,0.29756166715577137
AllKNN_0,AllKNN_1,Recall,0.8385415077767019,0.8357366948579473,0.2128362256102845,0.21471850118509261
AllKNN_0,AllKNN_1,F1,0.761282012931801,0.7601159818604074,0.24207580910493748,0.24333851326872444
AllKNN_0,AllKNN_1,Precision,0.7227277985944623,0.7225109708106686,0.2683424758666811,0.26759382372909973
