Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0007032006855948745,25.5,0.2895874244268877,Not Significant
Baseline,MLCV,F1,0.0005890627326028963,21.5,0.16981050508552142,Not Significant
Baseline,MLCV,Precision,0.00024015949072070386,26.5,0.326799567668966,Not Significant
RUS_0,RUS_1,Recall,0.0007154035323050367,28.5,0.4101169916790808,Not Significant
RUS_0,RUS_1,F1,0.0013691784314629474,22.5,0.1955388591039955,Not Significant
RUS_0,RUS_1,Precision,0.0008346202953682935,24.5,0.2553403615339004,Not Significant
TomekLinks_0,TomekLinks_1,Recall,7.9365079365179e-05,33.5,0.6661372044883171,Not Significant
TomekLinks_0,TomekLinks_1,F1,1.0131275259894768e-05,36.5,0.84451926747294,Not Significant
TomekLinks_0,TomekLinks_1,Precision,0.00032705473650807004,29.5,0.4561258517135216,Not Significant
ENN_0,ENN_1,Recall,0.0002425665101721819,25.5,0.28940186128033996,Not Significant
ENN_0,ENN_1,F1,0.00016500626858639844,24.5,0.2553403615339004,Not Significant
ENN_0,ENN_1,Precision,0.00022144636614968016,30.5,0.5049031767231309,Not Significant
NearMiss_0,NearMiss_1,Recall,0.00036075036075028377,26.5,0.326799567668966,Not Significant
NearMiss_0,NearMiss_1,F1,0.0006946032732752516,24.5,0.2553403615339004,Not Significant
NearMiss_0,NearMiss_1,Precision,0.0004102635401340149,27.5,0.36698557185492453,Not Significant
AllKNN_0,AllKNN_1,Recall,0.002425969961181218,15.5,0.06515383596058255,Not Significant
AllKNN_0,AllKNN_1,F1,0.002427325263533453,11.5,0.030984050098456638,MLCV Significantly Better
AllKNN_0,AllKNN_1,Precision,0.0015483861170922375,11.5,0.030984050098456638,MLCV Significantly Better
IHT_0,IHT_1,Recall,0.00022384440837186492,24.5,0.2553403615339004,Not Significant
IHT_0,IHT_1,F1,0.0003596208553705016,13.5,0.045458752343819665,MLCV Significantly Better
IHT_0,IHT_1,Precision,0.0005992542522612332,22.5,0.1955388591039955,Not Significant
CNN_0,CNN_1,Recall,-0.00034918371994016595,36.5,0.84451926747294,Not Significant
CNN_0,CNN_1,F1,1.9067614446199865e-05,28.5,0.4101169916790808,Not Significant
CNN_0,CNN_1,Precision,-0.0004904364068066269,32.5,0.6099826797058603,Not Significant
NCR_0,NCR_1,Recall,0.002397156692166058,12.5,0.037632883520140756,MLCV Significantly Better
NCR_0,NCR_1,F1,0.0008759700926007641,22.5,0.1955388591039955,Not Significant
NCR_0,NCR_1,Precision,0.00025399799904579634,29.5,0.4561258517135216,Not Significant
Reen_0,Reen_1,Recall,0.001016436784960828,17.5,0.09155570817720989,Not Significant
Reen_0,Reen_1,F1,0.00015816323638162544,28.5,0.4101169916790808,Not Significant
Reen_0,Reen_1,Precision,0.00038740544849263925,33.5,0.6661372044883171,Not Significant
OSS_0,OSS_1,Recall,-0.0002488730154016072,31.5,0.5562984612747348,Not Significant
OSS_0,OSS_1,F1,8.281432536227928e-06,36.5,0.84451926747294,Not Significant
OSS_0,OSS_1,Precision,0.0029004629223689515,7.5,0.01343541568384909,MLCV Significantly Better
CC_0,CC_1,Recall,0.003064364575992351,5.5,0.008564453376897097,MLCV Significantly Better
CC_0,CC_1,F1,0.000937727516899689,16.5,0.07755616674366551,Not Significant
CC_0,CC_1,Precision,0.000498763223975851,22.5,0.1955388591039955,Not Significant
ROS_0,ROS_1,Recall,5.952380952378711e-05,26.5,0.3266134340151581,Not Significant
ROS_0,ROS_1,F1,0.0012406845933320976,17.5,0.09168053014599106,Not Significant
ROS_0,ROS_1,Precision,0.00023311183131410895,31.5,0.5562984612747348,Not Significant
SMOTE_0,SMOTE_1,Recall,0.0007288551491450024,19.5,0.12608955395259033,Not Significant
SMOTE_0,SMOTE_1,F1,0.00019156798378427986,30.5,0.5049031767231309,Not Significant
SMOTE_0,SMOTE_1,Precision,-1.1502185414125066e-06,32.5,0.6101201547975077,Not Significant
BSMOTE_0,BSMOTE_1,Recall,0.00015873015873019147,33.5,0.6661372044883171,Not Significant
BSMOTE_0,BSMOTE_1,F1,0.00012104637245241578,33.5,0.6661372044883171,Not Significant
BSMOTE_0,BSMOTE_1,Precision,8.271853342278757e-05,36.5,0.84451926747294,Not Significant
SVM_0,SVM_1,Recall,0.0008770173375197143,16.5,0.07755616674366551,Not Significant
SVM_0,SVM_1,F1,0.000873889798686911,13.5,0.045458752343819665,MLCV Significantly Better
SVM_0,SVM_1,Precision,0.00015761234071098862,34.5,0.7240816609153895,Not Significant
SMOTENN_0,SMOTENN_1,Recall,0.0013190039934222186,20.5,0.14670764206619935,Not Significant
SMOTENN_0,SMOTENN_1,F1,0.00015863835699336803,29.5,0.4561258517135216,Not Significant
SMOTENN_0,SMOTENN_1,Precision,0.00019974250599680277,32.5,0.6101201547975077,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.001002047048558552,14.5,0.054613543950689084,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.00036556408265192575,26.5,0.326799567668966,Not Significant
SMOTETomek_0,SMOTETomek_1,Precision,-1.1502185414125066e-06,33.5,0.6661372044883171,Not Significant
