Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.6872219975443694,0.6914470613295428,0.3301560048093541,0.3280791647658599
Baseline,MLCV,F1,0.7160020712738189,0.7203691867001463,0.3160989272537948,0.3136862924048565
Baseline,MLCV,Precision,0.7690340287199012,0.7741906144269063,0.27515331209659305,0.2719360780200205
RUS_0,RUS_1,Recall,0.8451736559961717,0.8430230508538764,0.15528955044578466,0.1583948501888894
RUS_0,RUS_1,F1,0.7681815975775276,0.7670735323801391,0.23564989785757037,0.23804043965695257
RUS_0,RUS_1,Precision,0.7285290329358819,0.7271528934400119,0.2754678929879018,0.2781828849782432
TomekLinks_0,TomekLinks_1,Recall,0.7243825166882026,0.7279724083562417,0.30747844416030645,0.3061312749121934
TomekLinks_0,TomekLinks_1,F1,0.7333584983447629,0.7378067596425186,0.30317650385276074,0.30054852354264644
TomekLinks_0,TomekLinks_1,Precision,0.7582791248919692,0.7621672820769416,0.2819070982710283,0.2795391027295962
ENN_0,ENN_1,Recall,0.8230184279293048,0.82367391784553,0.25391837351784297,0.2539118146145329
ENN_0,ENN_1,F1,0.754329103810254,0.7551767005069409,0.27021578861785456,0.2689398828460029
ENN_0,ENN_1,Precision,0.7229227470952679,0.7276540534102925,0.2793928989679019,0.27092594716163226
NearMiss_0,NearMiss_1,Recall,0.8366408507958139,0.8380718701023304,0.15325389512392482,0.15223996161918585
NearMiss_0,NearMiss_1,F1,0.7463579179478278,0.7467729810790112,0.25842939719932567,0.2579100401827942
NearMiss_0,NearMiss_1,Precision,0.7086684744274346,0.7076434621863239,0.30485423413690893,0.3049456470914702
AllKNN_0,AllKNN_1,Recall,0.8403149426629556,0.8406197745143777,0.232674811582133,0.23229964048872173
AllKNN_0,AllKNN_1,F1,0.7586628965702392,0.7589854138358181,0.2625007161632183,0.26158606788335775
AllKNN_0,AllKNN_1,Precision,0.718327933566373,0.7196518834090669,0.28893762693942193,0.28599419040675694
IHT_0,IHT_1,Recall,0.9012873341307729,0.9011772320751102,0.10397142661807077,0.1058594824903771
IHT_0,IHT_1,F1,0.7426540921541415,0.7414506472667212,0.22360474568053437,0.22511662387262651
IHT_0,IHT_1,Precision,0.6684650255888541,0.6667545234403263,0.2736818358433314,0.2750720255185694
