Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0013139329805996747,19.5,0.12608955395259033,Not Significant
Baseline,MLCV,F1,0.0019338993525763737,7.5,0.01347119701821317,MLCV Significantly Better
Baseline,MLCV,Precision,0.00033581561560180884,18.5,0.10780182537536617,Not Significant
RUS_0,RUS_1,Recall,-0.0004761904761904079,23.5,0.22401538408861243,Not Significant
RUS_0,RUS_1,F1,-0.0006463266924566224,29.5,0.4561258517135216,Not Significant
RUS_0,RUS_1,Precision,-0.00031672517911585096,26.5,0.326799567668966,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.0025267626430415246,16.5,0.07755616674366551,Not Significant
TomekLinks_0,TomekLinks_1,F1,0.0021116344808660426,7.5,0.01347119701821317,MLCV Significantly Better
TomekLinks_0,TomekLinks_1,Precision,0.00016884810014200502,19.0,0.11610174398054864,Not Significant
ENN_0,ENN_1,Recall,0.0003764536117477624,25.5,0.28940186128033996,Not Significant
ENN_0,ENN_1,F1,0.0,32.5,0.6099826797058603,Not Significant
ENN_0,ENN_1,Precision,-8.798838801504782e-05,36.5,0.8444601962923157,Not Significant
NearMiss_0,NearMiss_1,Recall,5.7691144862925814e-05,27.5,0.36680119939501743,Not Significant
NearMiss_0,NearMiss_1,F1,1.117970314712391e-06,36.5,0.84451926747294,Not Significant
NearMiss_0,NearMiss_1,Precision,-0.00044099086612359173,26.5,0.326799567668966,Not Significant
AllKNN_0,AllKNN_1,Recall,0.0,38.5,0.9687003809366239,Not Significant
AllKNN_0,AllKNN_1,F1,0.0,37.5,0.906293509044724,Not Significant
AllKNN_0,AllKNN_1,Precision,0.0,37.5,0.906293509044724,Not Significant
IHT_0,IHT_1,Recall,0.0005599647266313901,32.5,0.6101201547975077,Not Significant
IHT_0,IHT_1,F1,-0.0005557819175072698,22.5,0.1955388591039955,Not Significant
IHT_0,IHT_1,Precision,-0.0007872520071472433,24.5,0.2553403615339004,Not Significant
CNN_0,CNN_1,Recall,0.000680049143290562,27.5,0.36680119939501743,Not Significant
CNN_0,CNN_1,F1,0.0008880161641011131,31.5,0.5562984612747348,Not Significant
CNN_0,CNN_1,Precision,0.0004213016538662795,26.5,0.326799567668966,Not Significant
NCR_0,NCR_1,Recall,-0.0014682539682540074,26.5,0.326799567668966,Not Significant
NCR_0,NCR_1,F1,-3.638081738721599e-05,30.5,0.5049031767231309,Not Significant
NCR_0,NCR_1,Precision,-6.30108751519809e-05,35.5,0.7835711252143678,Not Significant
Reen_0,Reen_1,Recall,-4.596876597595667e-06,27.5,0.36680119939501743,Not Significant
Reen_0,Reen_1,F1,3.536179343621715e-05,36.5,0.8444601962923157,Not Significant
Reen_0,Reen_1,Precision,-0.00023255813953482196,31.5,0.5561465266861163,Not Significant
OSS_0,OSS_1,Recall,-0.0012389770723102433,20.5,0.14670764206619935,Not Significant
OSS_0,OSS_1,F1,3.337067430242424e-05,37.5,0.9063293908364868,Not Significant
OSS_0,OSS_1,Precision,-1.5580964797423658e-05,36.5,0.84451926747294,Not Significant
CC_0,CC_1,Recall,0.0006773717238832688,15.0,0.05934643879191985,Not Significant
CC_0,CC_1,F1,0.00034033143187151005,19.5,0.12608955395259033,Not Significant
CC_0,CC_1,Precision,4.657625196413662e-06,33.5,0.6661372044883171,Not Significant
ROS_0,ROS_1,Recall,0.0004360155612567751,19.5,0.12608955395259033,Not Significant
ROS_0,ROS_1,F1,0.00042669662313540857,20.5,0.14670764206619935,Not Significant
ROS_0,ROS_1,Precision,0.0007653500676758074,22.5,0.19536693789564952,Not Significant
SMOTE_0,SMOTE_1,Recall,0.00015873015873019147,23.5,0.22383716469226866,Not Significant
SMOTE_0,SMOTE_1,F1,0.00019848294880164818,23.5,0.22401538408861243,Not Significant
SMOTE_0,SMOTE_1,Precision,0.00027474919696712785,25.5,0.28940186128033996,Not Significant
BSMOTE_0,BSMOTE_1,Recall,0.00032441207489453117,28.5,0.4101169916790808,Not Significant
BSMOTE_0,BSMOTE_1,F1,0.00011517030603969136,27.5,0.36698557185492453,Not Significant
BSMOTE_0,BSMOTE_1,Precision,-1.926255858442083e-05,38.5,0.9687003809366239,Not Significant
SVM_0,SVM_1,Recall,0.0008048275296337892,10.5,0.025369859822053694,MLCV Significantly Better
SVM_0,SVM_1,F1,0.0006634885325177975,16.5,0.07755616674366551,Not Significant
SVM_0,SVM_1,Precision,0.0,32.5,0.6099826797058603,Not Significant
SMOTENN_0,SMOTENN_1,Recall,0.0007997557997557192,26.5,0.326799567668966,Not Significant
SMOTENN_0,SMOTENN_1,F1,-2.8448688191129445e-05,37.5,0.9063293908364868,Not Significant
SMOTENN_0,SMOTENN_1,Precision,-3.835978835958764e-05,28.0,0.3874551722971866,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.000151143790849545,23.5,0.22383716469226866,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.0006297133604709626,5.5,0.008589957251185604,MLCV Significantly Better
SMOTETomek_0,SMOTETomek_1,Precision,0.0011270811827663874,6.5,0.01075713311978963,MLCV Significantly Better
