Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.3884042379566541,0.38797068482010316,0.3944778310714323,0.39391009021943924
Baseline,MLCV,F1,0.4228146687061489,0.4229127234640184,0.3998882658479605,0.39926311407260806
Baseline,MLCV,Precision,0.5170621374207091,0.5189431596809334,0.4511992275517487,0.4514376431121423
RUS_0,RUS_1,Recall,0.7140133900685678,0.7134139621509145,0.17943118377575212,0.1797451571201921
RUS_0,RUS_1,F1,0.581961361251462,0.5816063395341525,0.2116233079270625,0.20965890071883542
RUS_0,RUS_1,Precision,0.5684820129218837,0.5686111285259637,0.2888206837670473,0.28753291004516185
TomekLinks_0,TomekLinks_1,Recall,0.4127021567021592,0.41162062259991195,0.396472606748968,0.39576203904605833
TomekLinks_0,TomekLinks_1,F1,0.44164934066211897,0.440797368210325,0.40083129073199936,0.39973894467915017
TomekLinks_0,TomekLinks_1,Precision,0.5185459725470974,0.5202098197501605,0.44871370744590267,0.44533706996077904
ENN_0,ENN_1,Recall,0.5765039539161472,0.5725639574508142,0.3523968131706731,0.35714572229456887
ENN_0,ENN_1,F1,0.5391001354162293,0.5359566945607573,0.3328994993702924,0.3366423399286164
ENN_0,ENN_1,Precision,0.57208355326209,0.5683831795097729,0.37304632930226655,0.3755585367850554
NearMiss_0,NearMiss_1,Recall,0.592759591884767,0.5881702020880857,0.2065148214812737,0.20939408490763448
NearMiss_0,NearMiss_1,F1,0.5466134225260258,0.5443521160243558,0.26170722738096636,0.262452278360984
NearMiss_0,NearMiss_1,Precision,0.5710571532600047,0.5707993543551928,0.3242313235342804,0.32460448525222635
AllKNN_0,AllKNN_1,Recall,0.6127680292300391,0.6161898741186672,0.3356469472280916,0.335163746319647
AllKNN_0,AllKNN_1,F1,0.5594108620821918,0.5618237855195115,0.321662591825776,0.3212129373060616
AllKNN_0,AllKNN_1,Precision,0.5858330117211458,0.5853969220235532,0.36650578018695623,0.3672020043807793
IHT_0,IHT_1,Recall,0.6656751307979605,0.6706588598726712,0.30356217040073896,0.2994892393551607
IHT_0,IHT_1,F1,0.5867441827306321,0.5898724312654826,0.3022074852982777,0.29794824504726003
IHT_0,IHT_1,Precision,0.5949195263266905,0.5992573725751608,0.337203720865633,0.3275197681906929
CNN_0,CNN_1,Recall,0.7110667747776462,0.7144082218824184,0.32056059393935216,0.3186122334981336
CNN_0,CNN_1,F1,0.49543075013789406,0.49305785980619626,0.26978062541470976,0.26530733666721895
CNN_0,CNN_1,Precision,0.4358254348329389,0.4270001550781697,0.28273588613217543,0.27839171728459144
NCR_0,NCR_1,Recall,0.5383976970880546,0.5417431810851742,0.37650929051124965,0.37315049555152624
NCR_0,NCR_1,F1,0.5161902832424022,0.5190764329155161,0.3581417297714132,0.35342434747551404
NCR_0,NCR_1,Precision,0.5519314777539088,0.5580121101546575,0.39437216770926603,0.38746260263142607
Reen_0,Reen_1,Recall,0.6458338131628442,0.6490755250969359,0.3207339125086767,0.32266153922855717
Reen_0,Reen_1,F1,0.568736991131955,0.5680745085722083,0.30541811482580217,0.30811200548269047
Reen_0,Reen_1,Precision,0.5846942704984731,0.5798194167485592,0.3479135213863208,0.3542430866768602
OSS_0,OSS_1,Recall,0.40058303776352644,0.3978405650532279,0.39133202133358513,0.38809058297691756
OSS_0,OSS_1,F1,0.41896659583010104,0.4170443290863693,0.3904048315023593,0.3871849267277476
OSS_0,OSS_1,Precision,0.4977537588406345,0.4995333946652562,0.4295285034296282,0.4272170594587115
CC_0,CC_1,Recall,0.7304730484980121,0.7237079896890363,0.16553898870855702,0.16930238040389098
CC_0,CC_1,F1,0.5880753313503908,0.5866052238946317,0.2036830769688548,0.20473398184544112
CC_0,CC_1,Precision,0.5755259568128738,0.5757834550616471,0.29165333798299153,0.29149053896323596
ROS_0,ROS_1,Recall,0.7463590969912107,0.7460878890539765,0.1542977614508671,0.15328650678791017
ROS_0,ROS_1,F1,0.6315836284898245,0.6309392023104784,0.21118224965677584,0.2108560121746358
ROS_0,ROS_1,Precision,0.6019376824813772,0.6022078691770306,0.26508388374005376,0.2649100051599702
SMOTE_0,SMOTE_1,Recall,0.7419018431967789,0.7407898587117399,0.154410634609079,0.15573774596636164
SMOTE_0,SMOTE_1,F1,0.6333616561268891,0.6328819505777402,0.21301549981838477,0.21273964414369403
SMOTE_0,SMOTE_1,Precision,0.6096381444737697,0.6095034249806625,0.26651118519793815,0.26640267667092127
BSMOTE_0,BSMOTE_1,Recall,0.7663026949712096,0.7657235555166492,0.15819767656602246,0.15923901787465075
BSMOTE_0,BSMOTE_1,F1,0.6247053688584607,0.6250184321313699,0.20984671028114202,0.2088712471977019
BSMOTE_0,BSMOTE_1,Precision,0.5740313985787097,0.5737855139364515,0.25456806491091394,0.25361375582468576
SVM_0,SVM_1,Recall,0.6672545789348564,0.6642009620030335,0.2922159437070194,0.2949670318878201
SVM_0,SVM_1,F1,0.6026720528135235,0.6009974296419399,0.2704895220349568,0.2734420067744741
SVM_0,SVM_1,Precision,0.5936953245414167,0.5929943100196372,0.2901287199587182,0.29249356506809365
SMOTENN_0,SMOTENN_1,Recall,0.7699897380537252,0.7749090850398255,0.15946695238892128,0.15968950554539016
SMOTENN_0,SMOTENN_1,F1,0.6174428642011947,0.6179862080103784,0.20048713971083026,0.19975601817409688
SMOTENN_0,SMOTENN_1,Precision,0.598678796807817,0.5981845633888431,0.2723347786297717,0.27252494291219076
SMOTETomek_0,SMOTETomek_1,Recall,0.7414354935307822,0.7402381018040883,0.15454456187535087,0.15578371059380647
SMOTETomek_0,SMOTETomek_1,F1,0.6329863392688936,0.6323829155834885,0.21314285436016858,0.21291696974401222
SMOTETomek_0,SMOTETomek_1,Precision,0.6093545110568722,0.6090635496290094,0.2666813191219097,0.2665901750624998
