Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,-0.0001513473606498117,33.5,0.6661372044883171,Not Significant
Baseline,MLCV,F1,2.63283229198219e-05,38.5,0.9687124153929956,Not Significant
Baseline,MLCV,Precision,1.327193489042422e-05,37.5,0.9063293908364868,Not Significant
RUS_0,RUS_1,Recall,0.001174603174603217,29.5,0.4561258517135216,Not Significant
RUS_0,RUS_1,F1,0.0009152827902991212,29.5,0.4561258517135216,Not Significant
RUS_0,RUS_1,Precision,-3.5372384624476894e-05,33.5,0.6661372044883171,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.00031746031746038295,35.5,0.7836523115344085,Not Significant
TomekLinks_0,TomekLinks_1,F1,0.0002412918514543283,30.5,0.5049031767231309,Not Significant
TomekLinks_0,TomekLinks_1,Precision,0.0004140747456570226,29.5,0.4561258517135216,Not Significant
ENN_0,ENN_1,Recall,-0.00033068783068790353,34.5,0.7240816609153895,Not Significant
ENN_0,ENN_1,F1,0.00024541008595008185,30.5,0.5049031767231309,Not Significant
ENN_0,ENN_1,Precision,0.0002914731240600821,25.5,0.2895874244268877,Not Significant
NearMiss_0,NearMiss_1,Recall,0.00016339869281045694,29.5,0.4559525241526442,Not Significant
NearMiss_0,NearMiss_1,F1,0.0012598353705587928,20.5,0.14670764206619935,Not Significant
NearMiss_0,NearMiss_1,Precision,0.0008906684448727331,20.5,0.14670764206619935,Not Significant
AllKNN_0,AllKNN_1,Recall,-0.0004761904761904079,26.5,0.326799567668966,Not Significant
AllKNN_0,AllKNN_1,F1,-9.181135103680793e-05,35.5,0.7836523115344085,Not Significant
AllKNN_0,AllKNN_1,Precision,7.611157355918996e-05,34.5,0.7240816609153895,Not Significant
IHT_0,IHT_1,Recall,-0.001462503904364365,14.5,0.05452053182433359,Not Significant
IHT_0,IHT_1,F1,-0.00018642875703661632,26.5,0.326799567668966,Not Significant
IHT_0,IHT_1,Precision,0.00020381256431462047,35.5,0.7836523115344085,Not Significant
CNN_0,CNN_1,Recall,0.0008531810863616762,28.5,0.4101169916790808,Not Significant
CNN_0,CNN_1,F1,5.773301778116968e-05,36.5,0.84451926747294,Not Significant
CNN_0,CNN_1,Precision,-0.00021981552524519277,30.5,0.5049031767231309,Not Significant
NCR_0,NCR_1,Recall,-7.936507936490145e-05,27.5,0.36680119939501743,Not Significant
NCR_0,NCR_1,F1,-0.00036816721387566975,31.5,0.5562984612747348,Not Significant
NCR_0,NCR_1,Precision,0.00022264488130513405,25.5,0.2895874244268877,Not Significant
Reen_0,Reen_1,Recall,-0.00033068783068790353,30.5,0.5049031767231309,Not Significant
Reen_0,Reen_1,F1,0.0001777169954687574,34.5,0.7240816609153895,Not Significant
Reen_0,Reen_1,Precision,0.0005403616852130977,21.5,0.16981050508552142,Not Significant
OSS_0,OSS_1,Recall,0.00032632032347562623,31.5,0.5562984612747348,Not Significant
OSS_0,OSS_1,F1,0.0001470026985191386,32.5,0.6101201547975077,Not Significant
OSS_0,OSS_1,Precision,-0.00035389610389624515,29.5,0.4561258517135216,Not Significant
CC_0,CC_1,Recall,-0.0008862433862433239,20.5,0.1465522456885206,Not Significant
CC_0,CC_1,F1,-0.0007698567001066525,28.5,0.4101169916790808,Not Significant
CC_0,CC_1,Precision,-0.0006785016646844166,28.5,0.4101169916790808,Not Significant
ROS_0,ROS_1,Recall,0.0004239869638786864,30.5,0.5049031767231309,Not Significant
ROS_0,ROS_1,F1,0.00039959221213708984,23.5,0.22401538408861243,Not Significant
ROS_0,ROS_1,Precision,0.00016862363245856438,26.5,0.326799567668966,Not Significant
SMOTE_0,SMOTE_1,Recall,0.0007936507936509019,25.5,0.2895874244268877,Not Significant
SMOTE_0,SMOTE_1,F1,0.0009151577875600725,15.5,0.06525725678295907,Not Significant
SMOTE_0,SMOTE_1,Precision,0.0011905766536246531,9.5,0.020658377241239013,MLCV Significantly Better
BSMOTE_0,BSMOTE_1,Recall,-0.0002564102564102666,31.5,0.5562984612747348,Not Significant
BSMOTE_0,BSMOTE_1,F1,0.00037346004803201494,22.5,0.1955388591039955,Not Significant
BSMOTE_0,BSMOTE_1,Precision,0.000126676736331377,26.5,0.326799567668966,Not Significant
SVM_0,SVM_1,Recall,0.00029049649015766565,17.5,0.09168053014599106,Not Significant
SVM_0,SVM_1,F1,0.0006684739300256148,7.5,0.01347119701821317,MLCV Significantly Better
SVM_0,SVM_1,Precision,0.0006057841547059961,7.5,0.01347119701821317,MLCV Significantly Better
SMOTENN_0,SMOTENN_1,Recall,0.0,37.5,0.906293509044724,Not Significant
SMOTENN_0,SMOTENN_1,F1,-6.595333898717914e-05,33.5,0.6661372044883171,Not Significant
SMOTENN_0,SMOTENN_1,Precision,-0.0006019201668429064,25.5,0.2895874244268877,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.0003949280969639535,30.5,0.5049031767231309,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.00045931922755310106,18.5,0.10780182537536617,Not Significant
SMOTETomek_0,SMOTETomek_1,Precision,0.0009308174203926378,19.5,0.12608955395259033,Not Significant
