Dataset,Experiment,Mean_Recall,Std_Recall,Mean_F1,Std_F1,Mean_Precision,Std_Precision
BCWDD,Baseline,0.9344112218530823,0.007365128356619788,0.9457726999708704,0.006059363591874619,0.958583048954387,0.008712227627232205
BCWDD,RUS_0,0.9565669988925802,0.008310538734691317,0.9430164437736124,0.00483286528724983,0.9311686394956641,0.006085250390838734
BCWDD,RUS_1,0.9581985972683648,0.008423368196185079,0.945134537254454,0.005625610715882308,0.9335508166557854,0.009004756121197832
BCWDD,MLCV,0.9349390919158361,0.0068347775927577094,0.9452225579238418,0.005175810243716492,0.9568850608197184,0.006123408379921905
BCWDD,TomekLinks_0,0.9407198228128462,0.006577249620022294,0.944973386364323,0.0053995536842324195,0.9504587404941005,0.007083955007532023
BCWDD,TomekLinks_1,0.9429162052417864,0.0063731809329373255,0.9449867127034838,0.004962751183586548,0.9481329434699579,0.006043064066320774
BCWDD,ENN_0,0.9542303433001107,0.005185921689916913,0.9300690274006739,0.00476193049806193,0.9084380628982747,0.007679002886886516
BCWDD,ENN_1,0.9557105943152455,0.0055393818351290106,0.9303807151052701,0.004523498630857756,0.9076217055216216,0.00701571034932262
BCWDD,NearMiss_0,0.9402325581395349,0.008143270626282577,0.9457023845678972,0.005978806967699989,0.9524212744596319,0.008389589875873894
BCWDD,NearMiss_1,0.9403949796973052,0.008308830857204023,0.9438507273113775,0.005664339663283766,0.9485798035772265,0.007851754559715726
BCWDD,AllKNN_0,0.9581801402731637,0.00510635246715382,0.9225987306165668,0.005829961814436227,0.8912069784594968,0.009822200666871658
BCWDD,AllKNN_1,0.9580730897009968,0.005085424373535104,0.9242762097838456,0.006013897203790308,0.8942849304652641,0.010693490399726786
BCWDD,IHT_0,0.984093761535622,0.0030951649047376364,0.8747843604819465,0.00497305542828425,0.788442196216798,0.007380351408809699
BCWDD,IHT_1,0.982886674049465,0.0035447503797866355,0.8744853039513281,0.005066787426810218,0.788453071831301,0.008125036800983868
BCWDD,CNN_0,0.9713658176448875,0.006810327107186076,0.9178804402685617,0.007359977302522756,0.8713393358173975,0.01280034307802597
BCWDD,CNN_1,0.9736286452565522,0.005953534331298519,0.9193075148052381,0.008484651264212559,0.8721603215767753,0.013652727939641387
BCWDD,NCR_0,0.9562938353636029,0.005985965217073097,0.931026428537907,0.005499825626075462,0.9084220704797557,0.007329124390325182
BCWDD,NCR_1,0.9572609819121446,0.004839135522615662,0.9317150868177169,0.004650904568249199,0.9087820703190099,0.007391087174784035
BCWDD,REEN_0,0.9636618678479144,0.005187149938364823,0.9185052940139964,0.006307902460490922,0.8793538773320669,0.011416387482837622
BCWDD,REEN_1,0.9627833148763383,0.005375031933080015,0.9187648464372509,0.006633688396662819,0.8803691264936115,0.01104227150019245
