Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0,29.0,0.41730416562740436,Not Significant
Baseline,MLCV,F1,0.0,35.0,0.7483841074687045,Not Significant
Baseline,MLCV,Precision,0.0,26.0,0.29717759849099823,Not Significant
RUS_0,RUS_1,Recall,7.9365079365179e-05,36.5,0.84451926747294,Not Significant
RUS_0,RUS_1,F1,6.329568501356464e-06,37.5,0.9063293908364868,Not Significant
RUS_0,RUS_1,Precision,-0.00020755171884884183,27.5,0.36680119939501743,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.0,14.0,0.044982577084843836,MLCV Significantly Better
TomekLinks_0,TomekLinks_1,F1,3.921568627462957e-05,10.5,0.02342434054436848,MLCV Significantly Better
TomekLinks_0,TomekLinks_1,Precision,0.0,31.5,0.5508866153183205,Not Significant
ENN_0,ENN_1,Recall,0.0,32.0,0.581462677791597,Not Significant
ENN_0,ENN_1,F1,0.0,38.0,0.937231535857697,Not Significant
ENN_0,ENN_1,Precision,0.0,34.0,0.6937659064448405,Not Significant
NearMiss_0,NearMiss_1,Recall,-2.214839424130588e-05,33.5,0.6660165023369173,Not Significant
NearMiss_0,NearMiss_1,F1,4.016064257017504e-05,35.5,0.7836523115344085,Not Significant
NearMiss_0,NearMiss_1,Precision,0.0,34.5,0.7239798175163299,Not Significant
AllKNN_0,AllKNN_1,Recall,0.0,34.0,0.6937659064448405,Not Significant
AllKNN_0,AllKNN_1,F1,0.0,38.0,0.9373767023732311,Not Significant
AllKNN_0,AllKNN_1,Precision,0.0,34.0,0.6944398006355911,Not Significant
IHT_0,IHT_1,Recall,-0.0007738095238094623,14.0,0.04950858334615769,CV Significantly Better
IHT_0,IHT_1,F1,-0.0003006318706406108,18.5,0.10766638372497757,Not Significant
IHT_0,IHT_1,Precision,-0.00042598965708223746,22.0,0.18166496074010352,Not Significant
CNN_0,CNN_1,Recall,0.0,37.0,0.8748509291024451,Not Significant
CNN_0,CNN_1,F1,-0.00022572565498049646,24.0,0.23859282931643555,Not Significant
CNN_0,CNN_1,Precision,-0.000322477922136577,27.0,0.3457785861511603,Not Significant
NCR_0,NCR_1,Recall,0.00015873015873019147,19.0,0.11525679957791299,Not Significant
NCR_0,NCR_1,F1,0.0,26.0,0.30595384462474895,Not Significant
NCR_0,NCR_1,Precision,0.0,26.5,0.32304894560092523,Not Significant
Reen_0,Reen_1,Recall,0.000238095238095426,37.5,0.906293509044724,Not Significant
Reen_0,Reen_1,F1,8.126624143622863e-05,35.5,0.7835711252143678,Not Significant
Reen_0,Reen_1,Precision,3.7304833271911697e-06,33.5,0.6660165023369173,Not Significant
OSS_0,OSS_1,Recall,0.0,28.5,0.40648344235657985,Not Significant
OSS_0,OSS_1,F1,4.2536710376961384e-05,19.5,0.12316830666468205,Not Significant
OSS_0,OSS_1,Precision,0.0,28.5,0.40648344235657985,Not Significant
CC_0,CC_1,Recall,-2.0796197266748084e-05,30.5,0.5049031767231309,Not Significant
CC_0,CC_1,F1,-0.0002861075801172952,18.5,0.10780182537536617,Not Significant
CC_0,CC_1,Precision,-0.0005925439524966103,11.5,0.030919460197507687,CV Significantly Better
ROS_0,ROS_1,Recall,7.936507936490145e-05,27.5,0.36698557185492453,Not Significant
ROS_0,ROS_1,F1,4.1140170437881096e-05,37.5,0.9063293908364868,Not Significant
ROS_0,ROS_1,Precision,0.0,38.5,0.9687003809366239,Not Significant
SMOTE_0,SMOTE_1,Recall,-0.0017725813341877283,15.5,0.06525725678295907,Not Significant
SMOTE_0,SMOTE_1,F1,-0.0004730478691364337,16.5,0.07755616674366551,Not Significant
SMOTE_0,SMOTE_1,Precision,-0.0003694875134239717,17.5,0.09155570817720989,Not Significant
BSMOTE_0,BSMOTE_1,Recall,0.0,35.5,0.7835711252143678,Not Significant
BSMOTE_0,BSMOTE_1,F1,-0.00015136874581028747,28.5,0.4101169916790808,Not Significant
BSMOTE_0,BSMOTE_1,Precision,-0.0004349128336385566,18.5,0.10766638372497757,Not Significant
SVM_0,SVM_1,Recall,-0.0003793871066787857,29.5,0.4561258517135216,Not Significant
SVM_0,SVM_1,F1,-0.0007750136647884376,22.5,0.1955388591039955,Not Significant
SVM_0,SVM_1,Precision,-0.0008760013910178444,23.5,0.22383716469226866,Not Significant
SMOTENN_0,SMOTENN_1,Recall,0.00023809523809509292,36.5,0.84451926747294,Not Significant
SMOTENN_0,SMOTENN_1,F1,0.0002515387229989341,24.5,0.2553403615339004,Not Significant
SMOTENN_0,SMOTENN_1,Precision,0.0005814761925023171,21.5,0.16964628276286098,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,-0.001744711352554551,8.5,0.016728700389704677,CV Significantly Better
SMOTETomek_0,SMOTETomek_1,F1,-0.0008330344943808798,12.5,0.037632883520140756,CV Significantly Better
SMOTETomek_0,SMOTETomek_1,Precision,-0.0008358925763874425,16.5,0.07744208512638942,Not Significant
